station,avg_arr_delay,train_no,days,type
NASIK ROAD,37.0,12869,Sun,SUPERFAST
BHUSAVAL JN,31.0,12869,Sun,SUPERFAST
AKOLA JN.,42.0,12869,Sun,SUPERFAST
BADNERA JN.,15.0,12869,Sun,SUPERFAST
NAGPUR,0.0,12869,Sun,SUPERFAST
GONDIA JN,0.0,12869,Sun,SUPERFAST
DURG,0.0,12869,Sun,SUPERFAST
RAIPUR JN,0.0,12869,Sun,SUPERFAST
BILASPUR JN.,0.0,12869,Sun,SUPERFAST
JHARSUGUDA JN,19.0,12869,Sun,SUPERFAST
ROURKELA,67.0,12869,Sun,SUPERFAST
CHAKARADHARPUR,95.0,12869,Sun,SUPERFAST
TATANAGAR JN,157.0,12869,Sun,SUPERFAST
KHARAGPUR JN,158.0,12869,Sun,SUPERFAST
SANTRAGACHI JN,232.0,12869,Sun,SUPERFAST
HOWRAH JN,257.0,12869,Sun,SUPERFAST
DADAR,0.0,01025,"Mon,Wed,Fri",TRAIN ON DEMAND
KALYAN JN,8.0,01025,"Mon,Wed,Fri",TRAIN ON DEMAND
NASIK ROAD,58.0,01025,"Mon,Wed,Fri",TRAIN ON DEMAND
BHUSAVAL JN,107.0,01025,"Mon,Wed,Fri",TRAIN ON DEMAND
HARDA,81.0,01025,"Mon,Wed,Fri",TRAIN ON DEMAND
ITARSI JN,94.0,01025,"Mon,Wed,Fri",TRAIN ON DEMAND
RANI KAMALAPATI,92.0,01025,"Mon,Wed,Fri",TRAIN ON DEMAND
BINA JN,68.0,01025,"Mon,Wed,Fri",TRAIN ON DEMAND
LALITPUR,97.0,01025,"Mon,Wed,Fri",TRAIN ON DEMAND
TIKAMGARH,111.0,01025,"Mon,Wed,Fri",TRAIN ON DEMAND
KHARGAPUR,104.0,01025,"Mon,Wed,Fri",TRAIN ON DEMAND
MAHARAJA CHHATRASAL STATION CHHATARPUR,71.0,01025,"Mon,Wed,Fri",TRAIN ON DEMAND
KHAJURAHO,43.0,01025,"Mon,Wed,Fri",TRAIN ON DEMAND
MAHOBA,55.0,01025,"Mon,Wed,Fri",TRAIN ON DEMAND
BANDA JN,53.0,01025,"Mon,Wed,Fri",TRAIN ON DEMAND
CHITRAKOT,63.0,01025,"Mon,Wed,Fri",TRAIN ON DEMAND
MANIKPUR JN,62.0,01025,"Mon,Wed,Fri",TRAIN ON DEMAND
AUNRIHAR JN.,203.0,01025,"Mon,Wed,Fri",TRAIN ON DEMAND
MAU JN,217.0,01025,"Mon,Wed,Fri",TRAIN ON DEMAND
RASRA,233.0,01025,"Mon,Wed,Fri",TRAIN ON DEMAND
BALLIA,189.0,01025,"Mon,Wed,Fri",TRAIN ON DEMAND
BANDRA TERMINUS,0.0,22921,Sun,SUPERFAST
BORIVALI,11.0,22921,Sun,SUPERFAST
VAPI,0.0,22921,Sun,SUPERFAST
SURAT,8.0,22921,Sun,SUPERFAST
VADODARA JN,5.0,22921,Sun,SUPERFAST
RATLAM JN,8.0,22921,Sun,SUPERFAST
KOTA JN,10.0,22921,Sun,SUPERFAST
BHARATPUR JN,11.0,22921,Sun,SUPERFAST
ACHHNERA JN,0.0,22921,Sun,SUPERFAST
MATHURA JN.,0.0,22921,Sun,SUPERFAST
KASGANJ,0.0,22921,Sun,SUPERFAST
FARRUKHABAD,0.0,22921,Sun,SUPERFAST
GURSAHAIGANJ,0.0,22921,Sun,SUPERFAST
KANPUR CENTRAL,0.0,22921,Sun,SUPERFAST
LUCKNOW,41.0,22921,Sun,SUPERFAST
GONDA JN,65.0,22921,Sun,SUPERFAST
BALRAMPUR,87.0,22921,Sun,SUPERFAST
TULSIPUR,88.0,22921,Sun,SUPERFAST
SIDDHARTH NAGAR,91.0,22921,Sun,SUPERFAST
ANAND NAGAR,83.0,22921,Sun,SUPERFAST
GORAKHPUR JN,86.0,22921,Sun,SUPERFAST
LOKMANYATILAK,0.0,22538,Daily,SUPERFAST
THANE,25.0,22538,Daily,SUPERFAST
KALYAN JN,37.0,22538,Daily,SUPERFAST
NASIK ROAD,37.0,22538,Daily,SUPERFAST
MANMAD JN,46.0,22538,Daily,SUPERFAST
NANDGAON,45.0,22538,Daily,SUPERFAST
CHALISGAON JN,40.0,22538,Daily,SUPERFAST
PACHORA JN,49.0,22538,Daily,SUPERFAST
JALGAON JN,43.0,22538,Daily,SUPERFAST
BHUSAVAL JN,39.0,22538,Daily,SUPERFAST
RAVER,53.0,22538,Daily,SUPERFAST
BURHANPUR,58.0,22538,Daily,SUPERFAST
NEPANAGAR,53.0,22538,Daily,SUPERFAST
KHANDWA JUNCTION,25.0,22538,Daily,SUPERFAST
KHIRKIYA,33.0,22538,Daily,SUPERFAST
HARDA,49.0,22538,Daily,SUPERFAST
TIMARNI,54.0,22538,Daily,SUPERFAST
ITARSI JN,49.0,22538,Daily,SUPERFAST
NARMADAPURAM,52.0,22538,Daily,SUPERFAST
MANDI DIP,53.0,22538,Daily,SUPERFAST
RANI KAMALAPATI,50.0,22538,Daily,SUPERFAST
BHOPAL,59.0,22538,Daily,SUPERFAST
VIDISHA,61.0,22538,Daily,SUPERFAST
GANJ BASODA,51.0,22538,Daily,SUPERFAST
BINA JN,31.0,22538,Daily,SUPERFAST
LALITPUR,59.0,22538,Daily,SUPERFAST
BABINA,70.0,22538,Daily,SUPERFAST
VIRANGANA LAKSHMIBAI JHANSI,66.0,22538,Daily,SUPERFAST
AIT,73.0,22538,Daily,SUPERFAST
ORAI,76.0,22538,Daily,SUPERFAST
KALPI,83.0,22538,Daily,SUPERFAST
POKHRAYAN,85.0,22538,Daily,SUPERFAST
KANPUR CENTRAL,22.0,22538,Daily,SUPERFAST
UNNAO JN,35.0,22538,Daily,SUPERFAST
AISHBAGH,52.0,22538,Daily,SUPERFAST
BADSHAHNAGAR,58.0,22538,Daily,SUPERFAST
BARABANKI JN,72.0,22538,Daily,SUPERFAST
GONDA JN,84.0,22538,Daily,SUPERFAST
MANKAPUR JN,87.0,22538,Daily,SUPERFAST
MASKANWA,91.0,22538,Daily,SUPERFAST
BABHNAN,107.0,22538,Daily,SUPERFAST
BASTI,113.0,22538,Daily,SUPERFAST
KHALILABAD,115.0,22538,Daily,SUPERFAST
GORAKHPUR JN,76.0,22538,Daily,SUPERFAST
CHHATRAPATI SHIVAJI MAHARAJ TERMINUS,0.0,22157,Daily,SUPERFAST
DADAR,39.0,22157,Daily,SUPERFAST
KALYAN JN,43.0,22157,Daily,SUPERFAST
LONAVALA,40.0,22157,Daily,SUPERFAST
KHADKI,53.0,22157,Daily,SUPERFAST
PUNE JN,45.0,22157,Daily,SUPERFAST
DAUND JN,57.0,22157,Daily,SUPERFAST
JEUR,22.0,22157,Daily,SUPERFAST
KURDUVADI JN.,61.0,22157,Daily,SUPERFAST
SOLAPUR JN,55.0,22157,Daily,SUPERFAST
AKALKOT ROAD,60.0,22157,Daily,SUPERFAST
DUDHANI,62.0,22157,Daily,SUPERFAST
GANAGAPUR ROAD,63.0,22157,Daily,SUPERFAST
KALABURAGI,55.0,22157,Daily,SUPERFAST
SHAHABAD,49.0,22157,Daily,SUPERFAST
WADI,43.0,22157,Daily,SUPERFAST
NALWAR,47.0,22157,Daily,SUPERFAST
YADGIR,8.0,22157,Daily,SUPERFAST
SAIDAPUR,55.0,22157,Daily,SUPERFAST
KRISHNA,57.0,22157,Daily,SUPERFAST
RAICHUR,44.0,22157,Daily,SUPERFAST
MATMARI,45.0,22157,Daily,SUPERFAST
MANTHRALAYAM RD,43.0,22157,Daily,SUPERFAST
KOSGI,49.0,22157,Daily,SUPERFAST
ADONI,51.0,22157,Daily,SUPERFAST
GUNTAKAL JN,50.0,22157,Daily,SUPERFAST
GOOTY,52.0,22157,Daily,SUPERFAST
TADIPATRI,47.0,22157,Daily,SUPERFAST
YERRAGUNTLA,39.0,22157,Daily,SUPERFAST
CUDDAPAH,39.0,22157,Daily,SUPERFAST
RENIGUNTA JN,38.0,22157,Daily,SUPERFAST
ARAKKONAM,45.0,22157,Daily,SUPERFAST
PERAMBUR,57.0,22157,Daily,SUPERFAST
CHENNAI EGMORE,46.0,22157,Daily,SUPERFAST
LOKMANYATILAK,0.0,22103,Mon,SUPERFAST
KALYAN JN,10.0,22103,Mon,SUPERFAST
NASIK ROAD,24.0,22103,Mon,SUPERFAST
JALGAON JN,35.0,22103,Mon,SUPERFAST
BHUSAVAL JN,27.0,22103,Mon,SUPERFAST
ITARSI JN,0.0,22103,Mon,SUPERFAST
JABALPUR,0.0,22103,Mon,SUPERFAST
KATNI,2.0,22103,Mon,SUPERFAST
SATNA,0.0,22103,Mon,SUPERFAST
MANIKPUR JN,4.0,22103,Mon,SUPERFAST
PRAYAGRAJ JN,30.0,22103,Mon,SUPERFAST
JANGHAI JN,59.0,22103,Mon,SUPERFAST
MARIAHU,50.0,22103,Mon,SUPERFAST
AYODHYA CANTT,15.0,22103,Mon,SUPERFAST
LOKMANYATILAK,0.0,11059,"Tue,Thu,Sat",MAIL EXPRESS
THANE,18.0,11059,"Tue,Thu,Sat",MAIL EXPRESS
KALYAN JN,24.0,11059,"Tue,Thu,Sat",MAIL EXPRESS
NASIK ROAD,59.0,11059,"Tue,Thu,Sat",MAIL EXPRESS
BHUSAVAL JN,66.0,11059,"Tue,Thu,Sat",MAIL EXPRESS
ITARSI JN,37.0,11059,"Tue,Thu,Sat",MAIL EXPRESS
JABALPUR,48.0,11059,"Tue,Thu,Sat",MAIL EXPRESS
SATNA,43.0,11059,"Tue,Thu,Sat",MAIL EXPRESS
PRAYAGRAJ JN,0.0,11059,"Tue,Thu,Sat",MAIL EXPRESS
PHULPUR,0.0,11059,"Tue,Thu,Sat",MAIL EXPRESS
JANGHAI JN,47.0,11059,"Tue,Thu,Sat",MAIL EXPRESS
MARIAHU,36.0,11059,"Tue,Thu,Sat",MAIL EXPRESS
ZAFARABAD JN,24.0,11059,"Tue,Thu,Sat",MAIL EXPRESS
JAUNPUR JN,60.0,11059,"Tue,Thu,Sat",MAIL EXPRESS
MAU JN,26.0,11059,"Tue,Thu,Sat",MAIL EXPRESS
BELTHARA ROAD,62.0,11059,"Tue,Thu,Sat",MAIL EXPRESS
SALEMPUR JN,51.0,11059,"Tue,Thu,Sat",MAIL EXPRESS
BHATNI JN,55.0,11059,"Tue,Thu,Sat",MAIL EXPRESS
MAIRWA,48.0,11059,"Tue,Thu,Sat",MAIL EXPRESS
SIWAN JN,55.0,11059,"Tue,Thu,Sat",MAIL EXPRESS
CHHAPRA,48.0,11059,"Tue,Thu,Sat",MAIL EXPRESS
CHHATRAPATI SHIVAJI MAHARAJ TERMINUS,0.0,12109,Daily,SUPERFAST
DADAR,8.0,12109,Daily,SUPERFAST
KALYAN JN,21.0,12109,Daily,SUPERFAST
KASARA,22.0,12109,Daily,SUPERFAST
IGATPURI,26.0,12109,Daily,SUPERFAST
DEVLALI,28.0,12109,Daily,SUPERFAST
NASIK ROAD,29.0,12109,Daily,SUPERFAST
NIPHAD,33.0,12109,Daily,SUPERFAST
LASALGAON,34.0,12109,Daily,SUPERFAST
MANMAD JN,20.0,12109,Daily,SUPERFAST
BANDRA TERMINUS,0.0,22196,"Tue,Wed",SUPERFAST
BORIVALI,12.0,22196,"Tue,Wed",SUPERFAST
VAPI,20.0,22196,"Tue,Wed",SUPERFAST
SURAT,14.0,22196,"Tue,Wed",SUPERFAST
BHARUCH JN,22.0,22196,"Tue,Wed",SUPERFAST
VADODARA JN,6.0,22196,"Tue,Wed",SUPERFAST
GODHRA JN,4.0,22196,"Tue,Wed",SUPERFAST
DAHOD,12.0,22196,"Tue,Wed",SUPERFAST
RATLAM JN,5.0,22196,"Tue,Wed",SUPERFAST
NAGDA JN,0.0,22196,"Tue,Wed",SUPERFAST
UJJAIN JN,0.0,22196,"Tue,Wed",SUPERFAST
MAKSI JUNCTION,0.0,22196,"Tue,Wed",SUPERFAST
SHAJAPUR,0.0,22196,"Tue,Wed",SUPERFAST
BIYAVRA RAJGARH,0.0,22196,"Tue,Wed",SUPERFAST
CHACHURA BINAGANI,7.0,22196,"Tue,Wed",SUPERFAST
RUTHIYAI JUNCTION,0.0,22196,"Tue,Wed",SUPERFAST
GUNA,5.0,22196,"Tue,Wed",SUPERFAST
SHIVPURI,43.0,22196,"Tue,Wed",SUPERFAST
GWALIOR,0.0,22196,"Tue,Wed",SUPERFAST
DABRA,12.0,22196,"Tue,Wed",SUPERFAST
DATIA,6.0,22196,"Tue,Wed",SUPERFAST
VIRANGANA LAKSHMIBAI JHANSI,2.0,22196,"Tue,Wed",SUPERFAST
DADAR,0.0,09051,"Mon,Wed,Sat",TRAIN ON DEMAND
BORIVALI,7.0,09051,"Mon,Wed,Sat",TRAIN ON DEMAND
VIRAR,11.0,09051,"Mon,Wed,Sat",TRAIN ON DEMAND
BOISAR,1.0,09051,"Mon,Wed,Sat",TRAIN ON DEMAND
DAHANU ROAD,17.0,09051,"Mon,Wed,Sat",TRAIN ON DEMAND
VAPI,34.0,09051,"Mon,Wed,Sat",TRAIN ON DEMAND
VALSAD,35.0,09051,"Mon,Wed,Sat",TRAIN ON DEMAND
NAVSARI,37.0,09051,"Mon,Wed,Sat",TRAIN ON DEMAND
BHESTAN,27.0,09051,"Mon,Wed,Sat",TRAIN ON DEMAND
BARDOLI,21.0,09051,"Mon,Wed,Sat",TRAIN ON DEMAND
VYARA,23.0,09051,"Mon,Wed,Sat",TRAIN ON DEMAND
NAVAPUR,23.0,09051,"Mon,Wed,Sat",TRAIN ON DEMAND
NANDURBAR,8.0,09051,"Mon,Wed,Sat",TRAIN ON DEMAND
DONDAICHA,20.0,09051,"Mon,Wed,Sat",TRAIN ON DEMAND
SINDKHEDA,21.0,09051,"Mon,Wed,Sat",TRAIN ON DEMAND
NARDANA,27.0,09051,"Mon,Wed,Sat",TRAIN ON DEMAND
AMALNER,17.0,09051,"Mon,Wed,Sat",TRAIN ON DEMAND
DHARANGAON,0.0,09051,"Mon,Wed,Sat",TRAIN ON DEMAND
JALGAON JN,0.0,09051,"Mon,Wed,Sat",TRAIN ON DEMAND
BHUSAVAL JN,0.0,09051,"Mon,Wed,Sat",TRAIN ON DEMAND
MUMBAI CENTRAL,0.0,12267,Daily,DURONTO EXPRESS
AHMEDABAD JN,8.0,12267,Daily,DURONTO EXPRESS
SURENDRANAGAR,0.0,12267,Daily,DURONTO EXPRESS
RAJKOT,0.0,12267,Daily,DURONTO EXPRESS
HAPA,0.0,12267,Daily,DURONTO EXPRESS
PANVEL,0.0,22629,Thu,SUPERFAST
CHIPLUN,6.0,22629,Thu,SUPERFAST
RATNAGIRI,16.0,22629,Thu,SUPERFAST
KANKAVLI,20.0,22629,Thu,SUPERFAST
THIVIM,23.0,22629,Thu,SUPERFAST
MADGAON JUNCTION,8.0,22629,Thu,SUPERFAST
KARWAR,30.0,22629,Thu,SUPERFAST
HONNAVAR,37.0,22629,Thu,SUPERFAST
UDUPI,21.0,22629,Thu,SUPERFAST
MANGALORE JUNCTION,30.0,22629,Thu,SUPERFAST
KASARAGOD,36.0,22629,Thu,SUPERFAST
KANNUR,21.0,22629,Thu,SUPERFAST
KOZHIKKODE,34.0,22629,Thu,SUPERFAST
SHORANUR JN,13.0,22629,Thu,SUPERFAST
PALAKKAD JN,30.0,22629,Thu,SUPERFAST
COIMBATORE JN,23.0,22629,Thu,SUPERFAST
TIRUPPUR,35.0,22629,Thu,SUPERFAST
ERODE JN,54.0,22629,Thu,SUPERFAST
KARUR,14.0,22629,Thu,SUPERFAST
DINDIGUL JN,0.0,22629,Thu,SUPERFAST
MADURAI JN,9.0,22629,Thu,SUPERFAST
VIRUDUNAGAR JN,13.0,22629,Thu,SUPERFAST
KOVILPATTI,11.0,22629,Thu,SUPERFAST
TIRUNELVELI JN,0.0,22629,Thu,SUPERFAST
CHHATRAPATI SHIVAJI MAHARAJ TERMINUS,0.0,12362,Wed,SUPERFAST
DADAR,3.0,12362,Wed,SUPERFAST
KALYAN JN,19.0,12362,Wed,SUPERFAST
MANMAD JN,22.0,12362,Wed,SUPERFAST
BHUSAVAL JN,24.0,12362,Wed,SUPERFAST
KHANDWA JUNCTION,6.0,12362,Wed,SUPERFAST
ITARSI JN,0.0,12362,Wed,SUPERFAST
JABALPUR,0.0,12362,Wed,SUPERFAST
KATNI,0.0,12362,Wed,SUPERFAST
SATNA,6.0,12362,Wed,SUPERFAST
PRAYAGRAJ CHHEOKI,23.0,12362,Wed,SUPERFAST
MIRZAPUR,24.0,12362,Wed,SUPERFAST
PT.DEEN DAYAL UPADHYAYA JN.,0.0,12362,Wed,SUPERFAST
BUXAR,8.0,12362,Wed,SUPERFAST
PATNA JN,28.0,12362,Wed,SUPERFAST
KIUL JN,19.0,12362,Wed,SUPERFAST
JHAJHA,0.0,12362,Wed,SUPERFAST
JASIDIH JN.,5.0,12362,Wed,SUPERFAST
MADHUPUR JN.,7.0,12362,Wed,SUPERFAST
CHITTARANJAN,21.0,12362,Wed,SUPERFAST
ASANSOL JN.,12.0,12362,Wed,SUPERFAST
CHHATRAPATI SHIVAJI MAHARAJ TERMINUS,0.0,12115,Daily,SUPERFAST
DADAR,26.0,12115,Daily,SUPERFAST
THANE,26.0,12115,Daily,SUPERFAST
KALYAN JN,35.0,12115,Daily,SUPERFAST
PUNE JN,60.0,12115,Daily,SUPERFAST
DAUND JN,59.0,12115,Daily,SUPERFAST
JEUR,57.0,12115,Daily,SUPERFAST
KURDUVADI JN.,51.0,12115,Daily,SUPERFAST
SOLAPUR JN,33.0,12115,Daily,SUPERFAST
BANDRA TERMINUS,0.0,22989,"Wed,Fri",SUPERFAST
BORIVALI,11.0,22989,"Wed,Fri",SUPERFAST
VAPI,7.0,22989,"Wed,Fri",SUPERFAST
SURAT,0.0,22989,"Wed,Fri",SUPERFAST
VADODARA JN,15.0,22989,"Wed,Fri",SUPERFAST
ANAND JN,21.0,22989,"Wed,Fri",SUPERFAST
AHMEDABAD JN,0.0,22989,"Wed,Fri",SUPERFAST
VIRAMGAM JN,2.0,22989,"Wed,Fri",SUPERFAST
BOTAD JN,7.0,22989,"Wed,Fri",SUPERFAST
DHOLA JN,9.0,22989,"Wed,Fri",SUPERFAST
DHASA JN,12.0,22989,"Wed,Fri",SUPERFAST
LILIYA MOTA,24.0,22989,"Wed,Fri",SUPERFAST
SAVARKUNDLA,45.0,22989,"Wed,Fri",SUPERFAST
RAJULA JN,47.0,22989,"Wed,Fri",SUPERFAST
MAHUVA JN,0.0,22989,"Wed,Fri",SUPERFAST
DADAR,0.0,22147,Fri,SUPERFAST
KALYAN JN,19.0,22147,Fri,SUPERFAST
NASIK ROAD,29.0,22147,Fri,SUPERFAST
MANMAD JN,40.0,22147,Fri,SUPERFAST
KOPARGAON,12.0,22147,Fri,SUPERFAST
SAINAGAR SHIRDI,2.0,22147,Fri,SUPERFAST
CHHATRAPATI SHIVAJI MAHARAJ TERMINUS,0.0,11301,Daily,MAIL EXPRESS
DADAR,10.0,11301,Daily,MAIL EXPRESS
KALYAN JN,13.0,11301,Daily,MAIL EXPRESS
LONAVALA,15.0,11301,Daily,MAIL EXPRESS
PUNE JN,19.0,11301,Daily,MAIL EXPRESS
URULI,30.0,11301,Daily,MAIL EXPRESS
DAUND JN,29.0,11301,Daily,MAIL EXPRESS
KURDUVADI JN.,22.0,11301,Daily,MAIL EXPRESS
SOLAPUR JN,18.0,11301,Daily,MAIL EXPRESS
AKALKOT ROAD,27.0,11301,Daily,MAIL EXPRESS
DUDHANI,29.0,11301,Daily,MAIL EXPRESS
GANAGAPUR ROAD,30.0,11301,Daily,MAIL EXPRESS
KALABURAGI,24.0,11301,Daily,MAIL EXPRESS
SHAHABAD,26.0,11301,Daily,MAIL EXPRESS
WADI,9.0,11301,Daily,MAIL EXPRESS
NALWAR,15.0,11301,Daily,MAIL EXPRESS
YADGIR,19.0,11301,Daily,MAIL EXPRESS
SAIDAPUR,21.0,11301,Daily,MAIL EXPRESS
KRISHNA,23.0,11301,Daily,MAIL EXPRESS
RAICHUR,28.0,11301,Daily,MAIL EXPRESS
MANTHRALAYAM RD,23.0,11301,Daily,MAIL EXPRESS
ADONI,21.0,11301,Daily,MAIL EXPRESS
GUNTAKAL JN,21.0,11301,Daily,MAIL EXPRESS
ANANTAPUR,38.0,11301,Daily,MAIL EXPRESS
DHARMAVARAM JN,0.0,11301,Daily,MAIL EXPRESS
SAI P NILAYAM,16.0,11301,Daily,MAIL EXPRESS
PENUKONDA,11.0,11301,Daily,MAIL EXPRESS
HINDUPUR,17.0,11301,Daily,MAIL EXPRESS
GAURIBIDANUR,20.0,11301,Daily,MAIL EXPRESS
DODBALLAPUR,27.0,11301,Daily,MAIL EXPRESS
YELAHANKA JN.,0.0,11301,Daily,MAIL EXPRESS
KRANTIVIRA SANGOLLI RAYANNA (BENGALURU),0.0,11301,Daily,MAIL EXPRESS
CHHATRAPATI SHIVAJI MAHARAJ TERMINUS,0.0,12105,Daily,SUPERFAST
DADAR,8.0,12105,Daily,SUPERFAST
THANE,15.0,12105,Daily,SUPERFAST
KALYAN JN,31.0,12105,Daily,SUPERFAST
NASIK ROAD,43.0,12105,Daily,SUPERFAST
MANMAD JN,42.0,12105,Daily,SUPERFAST
CHALISGAON JN,42.0,12105,Daily,SUPERFAST
JALGAON JN,47.0,12105,Daily,SUPERFAST
BHUSAVAL JN,35.0,12105,Daily,SUPERFAST
MALKAPUR,47.0,12105,Daily,SUPERFAST
NANDURA,48.0,12105,Daily,SUPERFAST
SHEGAON,42.0,12105,Daily,SUPERFAST
AKOLA JN.,35.0,12105,Daily,SUPERFAST
MURTAJAPUR JN.,36.0,12105,Daily,SUPERFAST
BADNERA JN.,15.0,12105,Daily,SUPERFAST
CHANDUR,24.0,12105,Daily,SUPERFAST
DHAMANGAON,21.0,12105,Daily,SUPERFAST
PULGAON JN,25.0,12105,Daily,SUPERFAST
WARDHA JN,29.0,12105,Daily,SUPERFAST
AJNI,23.0,12105,Daily,SUPERFAST
NAGPUR,3.0,12105,Daily,SUPERFAST
KAMPTEE,14.0,12105,Daily,SUPERFAST
BHANDARA ROAD,8.0,12105,Daily,SUPERFAST
TUMSAR ROAD,9.0,12105,Daily,SUPERFAST
TIRORA,6.0,12105,Daily,SUPERFAST
GONDIA JN,1.0,12105,Daily,SUPERFAST
BANDRA TERMINUS,0.0,12480,Daily,SUPERFAST
BORIVALI,13.0,12480,Daily,SUPERFAST
VAPI,11.0,12480,Daily,SUPERFAST
SURAT,0.0,12480,Daily,SUPERFAST
VADODARA JN,16.0,12480,Daily,SUPERFAST
AHMEDABAD JN,1.0,12480,Daily,SUPERFAST
MAHESANA JN,16.0,12480,Daily,SUPERFAST
PALANPUR JN,0.0,12480,Daily,SUPERFAST
ABU ROAD,8.0,12480,Daily,SUPERFAST
PINDWARA,7.0,12480,Daily,SUPERFAST
JAWAI BANDH,8.0,12480,Daily,SUPERFAST
FALNA,7.0,12480,Daily,SUPERFAST
RANI,8.0,12480,Daily,SUPERFAST
MARWAR JN,0.0,12480,Daily,SUPERFAST
PALI MARWAR,4.0,12480,Daily,SUPERFAST
LUNI JN,15.0,12480,Daily,SUPERFAST
JODHPUR JN,0.0,12480,Daily,SUPERFAST
BANDRA TERMINUS,0.0,19217,Daily,MAIL EXPRESS
BORIVALI,17.0,19217,Daily,MAIL EXPRESS
PALGHAR,9.0,19217,Daily,MAIL EXPRESS
DAHANU ROAD,11.0,19217,Daily,MAIL EXPRESS
VAPI,9.0,19217,Daily,MAIL EXPRESS
VALSAD,9.0,19217,Daily,MAIL EXPRESS
BILIMORA JN,11.0,19217,Daily,MAIL EXPRESS
NAVSARI,11.0,19217,Daily,MAIL EXPRESS
SURAT,1.0,19217,Daily,MAIL EXPRESS
KOSAMBA JN,7.0,19217,Daily,MAIL EXPRESS
ANKLESHWAR JN,0.0,19217,Daily,MAIL EXPRESS
BHARUCH JN,4.0,19217,Daily,MAIL EXPRESS
VADODARA JN,8.0,19217,Daily,MAIL EXPRESS
ANAND JN,8.0,19217,Daily,MAIL EXPRESS
NADIAD JN,7.0,19217,Daily,MAIL EXPRESS
MAHEMADAVAD KHEDA ROAD,6.0,19217,Daily,MAIL EXPRESS
AHMEDABAD JN,2.0,19217,Daily,MAIL EXPRESS
CHANDLODIYA,4.0,19217,Daily,MAIL EXPRESS
VIRAMGAM JN,0.0,19217,Daily,MAIL EXPRESS
LAKHTAR,13.0,19217,Daily,MAIL EXPRESS
SURENDRANAGAR,0.0,19217,Daily,MAIL EXPRESS
MULI ROAD,21.0,19217,Daily,MAIL EXPRESS
THAN JN,25.0,19217,Daily,MAIL EXPRESS
WANKANER JN,24.0,19217,Daily,MAIL EXPRESS
RAJKOT,22.0,19217,Daily,MAIL EXPRESS
BHAKTI NAGAR,5.0,19217,Daily,MAIL EXPRESS
GONDAL,13.0,19217,Daily,MAIL EXPRESS
VIRPUR,16.0,19217,Daily,MAIL EXPRESS
JETALSAR JN,24.0,19217,Daily,MAIL EXPRESS
JUNAGADH JN,19.0,19217,Daily,MAIL EXPRESS
KESHOD,22.0,19217,Daily,MAIL EXPRESS
MALIYA HATINA,23.0,19217,Daily,MAIL EXPRESS
VERAVAL,0.0,19217,Daily,MAIL EXPRESS
LOKMANYATILAK,0.0,22312,Thu,SUPERFAST
KALYAN JN,44.0,22312,Thu,SUPERFAST
IGATPURI,40.0,22312,Thu,SUPERFAST
NASIK ROAD,40.0,22312,Thu,SUPERFAST
MANMAD JN,39.0,22312,Thu,SUPERFAST
BHUSAVAL JN,79.0,22312,Thu,SUPERFAST
BURHANPUR,94.0,22312,Thu,SUPERFAST
KHANDWA JUNCTION,89.0,22312,Thu,SUPERFAST
HARDA,102.0,22312,Thu,SUPERFAST
ITARSI JN,91.0,22312,Thu,SUPERFAST
PIPARIYA,91.0,22312,Thu,SUPERFAST
JABALPUR,74.0,22312,Thu,SUPERFAST
KATNI,110.0,22312,Thu,SUPERFAST
SATNA,104.0,22312,Thu,SUPERFAST
PRAYAGRAJ CHHEOKI,79.0,22312,Thu,SUPERFAST
MIRZAPUR,61.0,22312,Thu,SUPERFAST
PT.DEEN DAYAL UPADHYAYA JN.,11.0,22312,Thu,SUPERFAST
DILDARNAGAR JN,0.0,22312,Thu,SUPERFAST
BUXAR,0.0,22312,Thu,SUPERFAST
DUMRAON,5.0,22312,Thu,SUPERFAST
ARA,0.0,22312,Thu,SUPERFAST
DANAPUR,0.0,22312,Thu,SUPERFAST
PATNA JN,0.0,22312,Thu,SUPERFAST
PATNA SAHEB,3.0,22312,Thu,SUPERFAST
FATUHA,7.0,22312,Thu,SUPERFAST
KHUSROPUR,8.0,22312,Thu,SUPERFAST
BAKHTIYARPUR JN,18.0,22312,Thu,SUPERFAST
BARH,18.0,22312,Thu,SUPERFAST
MOKAMA,11.0,22312,Thu,SUPERFAST
KIUL JN,0.0,22312,Thu,SUPERFAST
KAJRA,3.0,22312,Thu,SUPERFAST
ABHAIPUR,10.0,22312,Thu,SUPERFAST
JAMALPUR JN,2.0,22312,Thu,SUPERFAST
BARIARPUR,20.0,22312,Thu,SUPERFAST
SULTANGANJ,17.0,22312,Thu,SUPERFAST
BHAGALPUR,23.0,22312,Thu,SUPERFAST
BARAHAT,53.0,22312,Thu,SUPERFAST
MANDAR HILL,52.0,22312,Thu,SUPERFAST
HANSDIHA,54.0,22312,Thu,SUPERFAST
PRAYAHAT HALT,54.0,22312,Thu,SUPERFAST
GODDA,55.0,22312,Thu,SUPERFAST
BANDRA TERMINUS,0.0,22935,Tue,SUPERFAST
BORIVALI,8.0,22935,Tue,SUPERFAST
VAPI,6.0,22935,Tue,SUPERFAST
SURAT,0.0,22935,Tue,SUPERFAST
VADODARA JN,0.0,22935,Tue,SUPERFAST
AHMEDABAD JN,0.0,22935,Tue,SUPERFAST
